"Date","AAPL","SPX","VIX","SPGSCITR","BNDGLB","EEM"
2003-04-11,0.9429,868.3,24.44,3748.05,219.1,11.0778
2003-04-14,0.97,885.23,23.41,3754.05,219.07,11.2222
2003-04-15,0.9564,890.81,22.56,3808.45,219.53,11.3556
2003-04-16,0.9457,879.91,22.52,3805.78,220,11.4867
2003-04-17,0.9371,893.58,21.5,3882.44,220.33,11.5689
2003-04-21,0.9386,892.01,21.95,3906.35,220.01,11.5644
2003-04-22,0.965,911.37,20.7,3844.8,220.57,11.6033
2003-04-23,0.97,919.02,20.8,3747.15,220.46,11.6578
2003-04-24,0.96,911.43,20.33,3735.89,221.43,11.4278
2003-04-25,0.9536,898.81,20.8,3718.58,221.57,11.2389
2003-04-28,0.99,914.84,20.84,3626.95,221.54,11.4244
2003-04-29,1.0043,917.84,20.76,3608.76,221.47,11.75
2003-04-30,1.0157,916.92,21.21,3660.66,222.87,11.7167
2003-05-01,1.0257,916.3,21.59,3665.54,223.41,11.6711
2003-05-02,1.0321,930.08,20.63,3632.09,222.87,11.85
2003-05-05,1.1493,926.55,21.13,3716.24,223.33,11.9778
2003-05-06,1.25,934.39,20.8,3673.15,224.27,12.0389
2003-05-07,1.2607,929.62,21,3719.44,225.3,12.0167
2003-05-08,1.2857,920.27,21.24,3783.62,225.75,11.9111
2003-05-09,1.3071,933.41,19.69,3859.72,225.73,12.0511
2003-05-12,1.3257,945.11,19.52,3861.48,226.3,12.2189
2003-05-13,1.3336,942.3,19.91,3958.41,226.35,12.15
2003-05-14,1.325,939.28,20,4006.34,227.03,12.0889
2003-05-15,1.3379,946.67,19.24,3974.73,226.97,12.1133
2003-05-16,1.3429,944.3,18.4,3993.49,227.73,12.1222
2003-05-19,1.2929,920.77,20.51,3938.69,228.13,11.8333
2003-05-20,1.2707,919.73,21.29,3946.95,228.53,11.8922
2003-05-21,1.275,923.42,21.21,4005.03,228.49,11.9022
2003-05-22,1.3029,931.87,19.78,3973.49,228.66,12.01
2003-05-23,1.3086,933.22,19.17,3992.19,229.19,12.1333
2003-05-27,1.3486,951.48,19.99,3981.72,229.09,12.5678
2003-05-28,1.3057,953.22,20.03,3926.71,228.06,12.6222
2003-05-29,1.2929,949.64,20.43,3972.46,228.06,12.6389
2003-05-30,1.2821,963.59,19.47,4011.64,228.63,12.7856
2003-06-02,1.2464,967,20.85,4104.09,228.28,12.8778
2003-06-03,1.2364,971.56,20.84,4089.29,228.83,12.78
2003-06-04,1.2571,986.24,20.62,4041.7,229.12,12.9444
2003-06-05,1.26,990.14,20.83,4105.62,229.68,12.9578
2003-06-06,1.225,987.76,21.25,4142.31,228.95,13.0789
2003-06-09,1.1993,975.93,22.15,4136.59,229.97,12.9667
2003-06-10,1.2271,984.84,20.64,4160.42,230.5,13.1
2003-06-11,1.2464,997.48,20.21,4176.4,230.82,13.1111
2003-06-12,1.2693,998.51,20.41,4064.2,230.97,13.21
2003-06-13,1.2443,988.61,20.66,3976.52,231.74,13.2056
2003-06-16,1.305,1010.74,20.22,3989.84,231.47,13.3478
2003-06-17,1.2993,1011.66,20.01,4002.07,230.6,13.6222
2003-06-18,1.3657,1010.09,19.76,3956.1,229.39,13.5722
2003-06-19,1.3671,994.7,19.8,3966.59,229.26,13.5722
2003-06-20,1.3714,995.69,19.14,4015.07,228.93,13.5722
2003-06-23,1.3614,981.64,20.58,3990.3,229.28,13.2389
2003-06-24,1.3414,983.45,20.75,3944.08,229.56,13.1411
2003-06-25,1.3636,975.32,20.81,4040.3,229.18,13.25
2003-06-26,1.3779,985.82,19.4,3926.79,227.32,13.3933
2003-06-27,1.3379,976.22,19.16,3951.63,226.86,13.3311
2003-06-30,1.3614,974.5,19.52,4020.44,227.23,13.3222
2003-07-01,1.3636,982.32,19.46,4031.15,227.58,13.4667
2003-07-02,1.3764,993.75,19.03,4012.35,227.46,13.7833
2003-07-03,1.3664,985.7,19.39,4025.28,226.75,13.8222
2003-07-07,1.4193,1004.42,20.06,4021.4,225.92,14.1644
2003-07-08,1.4571,1007.84,19.48,4049.2,225.55,14.2044
2003-07-09,1.4207,1002.21,18.93,4113.26,225.99,14.1711
2003-07-10,1.3986,988.7,19.19,4091.17,226.36,13.9222
2003-07-11,1.4179,998.14,18.47,4101.7,226.62,14.0389
2003-07-14,1.4214,1003.86,19.59,4093.1,226.21,14.2856
2003-07-15,1.4007,1000.42,19.55,4078.1,224.66,14.1056
2003-07-16,1.4193,994,19.76,4018.7,224.02,14.1167
2003-07-17,1.4929,981.73,20.22,4049.38,224.25,13.7478
2003-07-18,1.4899,993.32,19.11,4079.57,224.02,13.9311
2003-07-21,1.4721,978.8,19.78,4072.85,224.03,13.7467
2003-07-22,1.4857,988.11,19.17,3950.28,223.11,13.9111
2003-07-23,1.485,988.61,18.64,3976.48,223.24,13.8222
2003-07-24,1.465,981.6,18.6,4004.97,223.94,13.8889
2003-07-25,1.5386,998.68,17.75,4009.47,223.79,14.1167
2003-07-28,1.4993,996.52,18.36,4011.99,223.94,14.1944
2003-07-29,1.48,989.28,18.67,4016.37,222.8,14.1144
2003-07-30,1.4486,987.49,18.85,4043.69,221.96,14.0111
2003-07-31,1.5057,990.31,19.49,4049.07,221.83,14.0778
2003-08-01,1.4807,980.15,20.75,4199.54,219.94,14.1089
2003-08-04,1.515,982.82,21.27,4144.73,219.92,14.0467
2003-08-05,1.4557,965.46,22.68,4176.4,220.83,13.8956
2003-08-06,1.4021,967.08,21.5,4158.54,220.83,13.8333
2003-08-07,1.4236,974.12,20.26,4237.61,221.49,13.9344
2003-08-08,1.4029,977.59,19.59,4212.65,222.51,14.0278
2003-08-11,1.4043,980.59,19.75,4205.42,222.48,14.0889
2003-08-12,1.4071,990.35,17.94,4220.84,222.01,14.1444
2003-08-13,1.4414,984.03,18.77,4151.16,222.02,14.3444
2003-08-14,1.4264,990.51,18.47,4142.15,220.19,14.5333
2003-08-15,1.4079,990.67,18.27,4137.35,219.86,14.3889
2003-08-18,1.4529,999.74,18.18,4149.33,220.11,14.6956
2003-08-19,1.4514,1002.35,17.86,4134.18,220.15,14.7678
2003-08-20,1.5007,1000.3,17.82,4186.3,220.65,14.77
2003-08-21,1.5486,1003.27,17.84,4264.33,220.59,15.0411
2003-08-22,1.4914,993.06,18.55,4273.77,219.81,15.1178
2003-08-25,1.49,993.71,19.53,4231.75,219.93,15
2003-08-26,1.5036,996.73,19.49,4244.63,219.67,14.8167
2003-08-27,1.5343,996.79,19.13,4181.75,219.84,14.9889
2003-08-28,1.585,1002.84,18.48,4205.73,219.49,15.0933
2003-08-29,1.615,1008.01,18.63,4214.54,220.42,15.2022
2003-09-02,1.6321,1021.99,19.02,4036.23,220.73,15.4278
2003-09-03,1.6393,1026.27,19.44,4053.61,219.01,15.55
2003-09-04,1.6307,1027.97,18.71,4035.96,218.95,15.6056
2003-09-05,1.6071,1021.39,18.17,4026.32,219.86,15.5911
2003-09-08,1.6243,1031.64,18.26,4021.44,221.7,15.8867
2003-09-09,1.5979,1023.17,18.85,4049.25,221.79,15.6111
2003-09-10,1.5843,1010.92,20.01,4081.73,222.04,15.3511
2003-09-11,1.6114,1016.42,19.25,4028.92,222.87,15.3333
2003-09-12,1.65,1018.63,18.68,3983.81,222.43,15.4422
2003-09-15,1.5864,1014.81,19.28,3971.6,223.29,15.2144
2003-09-16,1.5971,1029.32,18.03,3915.56,223.29,15.5278
2003-09-17,1.58,1025.97,18.15,3870.38,223.22,15.4611
2003-09-18,1.6343,1039.58,17.57,3853.54,224.18,15.6389
2003-09-19,1.6129,1036.3,17.54,3844.4,224.58,15.5667
2003-09-22,1.5771,1022.82,19.65,3865.3,225.26,15.3122
2003-09-23,1.6021,1029.03,19.47,3862.94,225.84,15.35
2003-09-24,1.5229,1009.38,21.22,3963.06,226.14,15.3778
2003-09-25,1.4593,1003.27,22.26,3965.22,226.59,15.15
2003-09-26,1.4779,996.85,22.23,3940.94,226.96,15.0444
2003-09-29,1.5214,1006.58,21.67,3986.65,227.36,15.1511
2003-09-30,1.48,995.97,22.72,4042.42,227.34,15.1033
2003-10-01,1.485,1018.22,21.07,4053.64,228.66,15.5
2003-10-02,1.4693,1020.24,20.8,4089.68,229.08,15.7222
2003-10-03,1.5493,1029.85,19.5,4130.94,228.33,15.8778
2003-10-06,1.5921,1034.35,19.51,4141.63,226.66,15.9389
2003-10-07,1.6586,1039.25,19.41,4169.63,227.2,15.9222
2003-10-08,1.6471,1033.78,19.18,4142.1,227.11,16.0411
2003-10-09,1.675,1038.73,18.82,4278.38,227.38,16.3111
2003-10-10,1.6914,1038.06,18.45,4373.25,226.89,16.5111
2003-10-13,1.7393,1045.35,17.55,4378.77,227.58,16.7611
2003-10-14,1.7536,1049.48,17.37,4353.08,227.07,16.4411
2003-10-15,1.7729,1046.76,17.69,4348.7,226.35,16.64
2003-10-16,1.6607,1050.07,17.19,4320.7,225.81,16.6356
2003-10-17,1.625,1039.32,17.62,4214.67,225.81,16.5344
2003-10-20,1.6586,1044.68,17.04,4173.49,225.94,16.6267
2003-10-21,1.6557,1046.03,16.55,4178.9,225.95,16.71
2003-10-22,1.6257,1030.36,17.67,4164.94,226.31,16.4644
2003-10-23,1.6421,1033.77,17.68,4212.85,227.39,16.2222
2003-10-24,1.6143,1028.91,17.71,4200.2,227.08,16.1367
2003-10-27,1.6143,1031.13,18.05,4166.01,228.02,16.3222
2003-10-28,1.6943,1046.79,16.82,4149.57,227.73,16.5456
2003-10-29,1.6921,1048.11,16.43,4130.25,228.11,16.6833
2003-10-30,1.6493,1046.94,16.33,4066.89,227.65,16.6233
2003-10-31,1.635,1050.71,16.1,4130.98,227.05,16.49
2003-11-03,1.6536,1059.02,16.55,4081.73,227.01,16.8833
2003-11-04,1.6364,1053.25,16.55,4070.3,225.79,16.93
2003-11-05,1.645,1051.81,16.86,4217.43,226.65,16.9522
2003-11-06,1.6514,1058.05,16.74,4181.5,226.05,16.8311
2003-11-07,1.6071,1053.21,16.93,4235.89,225.29,16.8489
2003-11-10,1.5643,1047.11,17.62,4238.73,225.2,16.6167
2003-11-11,1.5386,1046.57,17.54,4278.95,225.2,16.4033
2003-11-12,1.595,1058.56,16.75,4283.44,225.63,16.6956
2003-11-13,1.6014,1058.41,16.47,4329.23,226.5,16.8244
2003-11-14,1.5329,1050.35,16.94,4392.29,227.85,16.7389
2003-11-17,1.5093,1043.63,18.6,4309.39,228.94,16.4122
2003-11-18,1.4579,1034.15,19.11,4415.05,229.34,16.4444
2003-11-19,1.4586,1042.44,18.8,4335.47,229.83,16.3378
2003-11-20,1.4554,1033.65,19.48,4307.7,229.11,16.1267
2003-11-21,1.4486,1035.28,18.98,4296.96,229.62,16.2667
2003-11-24,1.5107,1052.08,17.44,4159.09,229.84,16.4433
2003-11-25,1.4771,1053.89,16.71,4169.84,228.75,16.5
2003-11-26,1.48,1058.45,16.23,4216.43,228.95,16.6511
2003-11-28,1.4936,1058.2,16.32,4236.69,229.08,16.8
2003-12-02,1.5386,1066.62,16.27,4353.05,228.07,17.2044
2003-12-03,1.5021,1064.73,16.63,4395.41,228.52,17.1444
2003-12-04,1.5107,1069.72,16.3,4448.71,228.66,17.0267
2003-12-05,1.4893,1061.5,17.09,4387.97,228.91,16.9944
2003-12-08,1.5036,1069.3,16.54,4559.77,230.69,17.0278
2003-12-09,1.4607,1060.18,17.63,4513.31,230.75,16.9567
2003-12-10,1.4557,1059.05,17.87,4508.75,230.01,16.8889
2003-12-11,1.515,1071.21,16.73,4488.13,230.37,17.1967
2003-12-12,1.4921,1074.14,16.41,4624.69,230.66,17.2756
2003-12-15,1.4407,1068.04,17.23,4625.02,231.28,17.2889
2003-12-16,1.4371,1075.13,15.93,4589.79,231.13,17.2167
2003-12-17,1.42,1076.48,15.58,4652.27,231.74,17.0167
2003-12-18,1.4314,1089.18,16.16,4692.34,232.34,17.2911
2003-12-19,1.4071,1088.67,16.42,4633.47,232.53,17.3333
2003-12-22,1.4179,1092.94,16.94,4474.69,232.55,17.5
2003-12-23,1.415,1096.02,16.49,4460.11,232.37,17.5478
2003-12-24,1.4579,1094.04,16.66,4510.05,232,17.6044
2003-12-26,1.4843,1095.89,17.45,4516.21,232.78,17.6489
2003-12-29,1.5107,1109.48,17.09,4481.49,233.16,17.9156
2003-12-30,1.52,1109.64,17.68,4543.62,232.8,18.0011
2003-12-31,1.5264,1111.92,18.31,4501.27,232.67,18.2144
2004-01-02,1.52,1108.48,18.22,4520.7,233.02,18.62
2004-01-05,1.5836,1122.22,17.49,4697.17,232.21,19.2733
2004-01-07,1.6136,1126.33,15.5,4673.37,233.77,19.1
2004-01-08,1.6686,1131.92,15.61,4732.33,233.91,19.1722
2004-01-09,1.6429,1121.86,16.75,4786.45,234.04,19.1378
2004-01-12,1.695,1127.23,16.82,4784.62,235.76,19.1211
2004-01-13,1.7229,1121.22,18.04,4702.45,235.71,19.0122
2004-01-14,1.7286,1130.52,16.75,4690.52,236.15,19.0422
2004-01-15,1.6321,1132.05,15.56,4532.78,236.16,18.6533
2004-01-16,1.6229,1139.83,15,4663.71,236.1,18.7333
2004-01-21,1.615,1147.62,14.34,4748.74,235.23,19.3033
2004-01-22,1.5843,1143.94,14.71,4735.18,235.67,19.2544
2004-01-23,1.6114,1141.55,14.84,4734.69,235.66,19.2222
2004-01-26,1.6436,1155.37,14.55,4654.7,235.89,19.35
2004-01-27,1.6479,1144.05,15.35,4625.3,234.96,19.2522
2004-01-28,1.6086,1128.48,16.78,4582.72,235.69,18.98
2004-01-29,1.62,1134.11,17.14,4511.56,234.68,18.6811
2004-01-30,1.6114,1131.13,16.63,4518.91,233.89,18.6556
2004-02-02,1.5943,1135.26,17.11,4631.38,233.89,18.66
2004-02-03,1.59,1136.03,17.34,4583.89,234.66,18.5556
2004-02-04,1.5564,1126.52,17.87,4509.78,235.4,18.3889
2004-02-05,1.6014,1128.59,17.71,4509.67,235.22,18.3833
2004-02-06,1.6221,1142.76,16,4461.23,235.1,18.8022
2004-02-09,1.6191,1139.81,16.39,4493.52,236.14,19.0733
2004-02-10,1.6414,1145.54,15.94,4562.89,236.34,19.0567
2004-02-11,1.7,1157.76,15.39,4577.1,236.13,19.3522
2004-02-12,1.695,1152.11,15.31,4603.75,236.85,19.3422
2004-02-13,1.6429,1145.81,15.58,4657.85,237.11,19.3556
2004-02-17,1.6543,1156.99,15.4,4698.23,237.37,19.7444
2004-02-18,1.6614,1151.82,15.59,4673,237.44,19.4756
2004-02-19,1.605,1147.06,15.8,4681.9,237.39,19.3056
2004-02-20,1.6,1144.11,16.04,4636.61,237.43,19.0889
2004-02-23,1.585,1140.99,16.29,4654.13,236.34,18.9222
2004-02-24,1.5971,1139.09,15.9,4685.73,236.17,18.8222
2004-02-25,1.6293,1143.67,14.93,4778.29,236.75,19.0278
2004-02-26,1.6457,1144.91,14.83,4802.51,236.49,19.1222
2004-02-27,1.7086,1144.94,14.55,4854.23,235.72,19.3933
2004-03-01,1.7157,1155.96,14.44,4929.98,236.38,19.8356
2004-03-02,1.7007,1149.1,14.86,4894.27,236.47,19.6778
2004-03-03,1.7086,1151.04,14.55,4778.16,235.31,19.5556
2004-03-04,1.7971,1154.88,14.4,4839.93,234.61,19.6889
2004-03-05,1.91,1156.87,14.48,4883.84,234.95,19.7611
2004-03-08,1.8571,1147.21,15.79,4800.85,237.12,19.5722
2004-03-09,1.9357,1140.58,16.6,4779.44,237.33,19.4444
2004-03-10,1.9771,1123.89,18.67,4766.08,238.02,19
2004-03-11,1.9393,1106.78,20.67,4866.71,237.43,18.5889
2004-03-12,1.9686,1120.57,18.3,4813.36,237.55,18.7444
2004-03-15,1.8893,1104.49,21.13,4936,237.21,18.3944
2004-03-16,1.8443,1110.7,20.34,4944.51,237.33,18.6222
2004-03-17,1.8707,1123.75,18.11,5032.85,238.61,18.8778
2004-03-18,1.8336,1122.32,18.53,5021.36,238.46,18.9889
2004-03-19,1.8471,1109.78,19.15,5023.36,238.89,18.7389
2004-03-22,1.8471,1095.4,21.58,5002.14,238.46,18.4389
2004-03-23,1.8064,1093.95,20.67,5022.87,239.11,18.6244
2004-03-24,1.8214,1091.33,19.81,4980.06,239.03,18.6389
2004-03-25,1.9193,1109.19,17.88,4854.13,239.02,18.8211
2004-03-26,1.9314,1108.06,17.33,4879.91,238.78,18.7867
2004-03-29,1.9936,1122.47,16.5,4860.06,237.74,19.0278
2004-03-30,1.9943,1127,16.28,4973.07,237.48,19.2611
2004-03-31,1.9314,1126.21,16.74,4951.78,237.43,19.5
2004-04-01,1.9364,1132.17,16.65,4858.13,238.74,19.6589
2004-04-02,1.9643,1141.81,15.64,4844.51,238.6,19.8556
2004-04-05,2.0229,1150.57,14.97,4828.79,235.85,19.9944
2004-04-06,1.9879,1148.16,15.32,4887.57,234.75,20.1056
2004-04-07,1.9507,1140.53,15.76,4985.51,235.1,20.0333
2004-04-08,1.9664,1139.32,16.26,5061.88,235.85,20.05
2004-04-12,2.0029,1145.2,15.28,5096.45,235.3,20.2044
2004-04-13,1.9236,1129.44,17.26,5011.14,235.05,19.9689
2004-04-14,1.9029,1128.17,15.62,5023.75,233.46,19.6744
2004-04-15,2.0929,1128.84,15.74,5043.1,232.58,19.5111
2004-04-16,2.0843,1134.61,14.94,5033.65,232.48,19.6556
2004-04-19,2.025,1135.82,15.42,5011.7,233.39,19.6889
2004-04-20,1.9807,1118.15,16.67,4987.04,233.2,19.5167
2004-04-21,1.9807,1124.09,15.6,4891.73,232.53,19.3722
2004-04-22,1.9843,1139.93,14.61,4970.45,231.91,19.3667
2004-04-23,1.9786,1140.6,14.01,4941.59,232.3,19.5111
2004-04-26,1.9379,1135.53,14.77,5006.28,231.65,19.2333
2004-04-27,1.9243,1138.11,15.07,5082.42,232.03,19.1311
2004-04-28,1.8893,1122.41,16.29,5061.86,232.21,18.5833
2004-04-29,1.9121,1113.89,16.6,5074.5,231.42,17.9711
2004-04-30,1.8414,1107.3,17.19,5088.35,231,17.5889
2004-05-03,1.8621,1117.49,16.62,5184.13,231.31,17.7656
2004-05-04,1.8671,1119.55,16.55,5288.17,231.26,18.1133
2004-05-05,1.9036,1121.53,15.77,5330.26,231.47,18.1578
2004-05-06,1.8986,1113.99,17.05,5300.89,231.45,17.7811
2004-05-07,1.905,1098.7,18.13,5347.08,231.45,17.3811
2004-05-10,1.8771,1087.12,19.77,5217.67,228.15,16.5422
2004-05-11,1.9386,1095.45,18.57,5321.15,227.64,17.0333
2004-05-12,1.95,1097.28,18.14,5375.81,227.67,17.0389
2004-05-13,1.9421,1096.44,18.86,5403.67,227.92,16.9944
2004-05-14,1.9329,1095.7,18.47,5395.74,227.05,16.5467
2004-05-17,1.9029,1084.1,19.96,5396.11,227.73,15.8844
2004-05-18,1.9329,1091.49,19.33,5299.09,229.04,16.3567
2004-05-19,1.8907,1088.68,18.93,5446.43,228.57,16.8089
2004-05-20,1.9079,1089.19,18.67,5364.34,228.6,16.7056
2004-05-21,1.9364,1093.56,18.49,5301.08,228.68,16.98
2004-05-24,1.9529,1095.41,18.08,5490.4,229.09,17.2444
2004-05-25,2.0293,1113.05,15.96,5437.54,229.03,17.6244
2004-05-26,2.0364,1114.94,15.97,5410.29,229.64,17.5556
2004-05-27,2.0121,1121.28,15.28,5300.05,230.31,17.8333
2004-05-28,2.0043,1120.68,15.5,5323.78,231.74,17.7944
2004-06-01,2.0043,1121.2,16.3,5575.02,231.13,17.6711
2004-06-02,2.0657,1124.99,16.08,5369.8,230.78,17.6711
2004-06-03,2.0286,1116.64,17.03,5276.09,230.59,17.2789
2004-06-04,2.0557,1122.5,16.78,5204.18,230.49,17.5333
2004-06-07,2.1293,1140.42,15.39,5220.05,229.98,18.1389
